concelho,qtd_ruas
Abrantes,7
Aguiar da Beira,2
Alandroal,2
Albergaria-a-Velha,3
Albufeira,8
Alcanena,5
Alcobaça,9
Alcochete,9
Alcoutim,1
Alcácer do Sal,9
Alenquer,5
Alfândega da Fé,1
Alijó,1
Aljezur,8
Aljustrel,9
Almada,33
Almeida,2
Almeirim,4
Almodôvar,5
Alvaiázere,1
Alvito,3
Amadora,13
Amares,2
Anadia,3
Ansião,3
Arcos de Valdevez,2
Arouca,7
Arraiolos,8
Arronches,1
Arruda dos Vinhos,5
Aveiro,13
Avis,11
Azambuja,4
Barcelos,13
Barrancos,2
Barreiro,7
Batalha,2
Beja,16
Bombarral,1
Borba,5
Braga,19
Bragança,2
Cabeceiras de Basto,2
Cadaval,2
Caldas da Rainha,5
Calheta,1
Caminha,4
Campo Maior,4
Cantanhede,3
Cartaxo,4
Cascais,8
Castelo Branco,2
Castelo de Paiva,1
Castelo de Vide,2
Castro Daire,6
Castro Marim,7
Castro Verde,14
Celorico da Beira,1
Chamusca,3
Chaves,9
Cinfães,1
Coimbra,20
Condeixa-a-Nova,1
Constância,3
Coruche,2
Covilhã,2
Crato,2
Cuba,4
Elvas,2
Entroncamento,1
Espinho,3
Esposende,13
Estarreja,2
Estremoz,3
Fafe,10
Faro,7
Felgueiras,5
Ferreira do Alentejo,9
Figueira da Foz,9
Figueiró dos Vinhos,1
Fornos de Algodres,2
Freixo de Espada à Cinta,1
Funchal,2
Fundão,4
Gavião,4
Golegã,7
Gondomar,13
Grândola,5
Guarda,4
Guimarães,39
Horta,1
Idanha-a-Nova,1
Lagoa,6
Lagos,11
Leiria,10
Lisboa,15
Loulé,8
Loures,32
Lourinhã,9
Lousada,2
Lousã,3
Macedo de Cavaleiros,1
Machico,1
Mafra,6
Maia,8
Mangualde,5
Manteigas,1
Marinha Grande,13
Matosinhos,7
Mealhada,8
Melgaço,1
Mesão Frio,1
Mira,5
Miranda do Corvo,1
Miranda do Douro,2
Mirandela,2
Moimenta da Beira,1
Moita,14
Mondim de Basto,1
Monforte,2
Montemor-o-Novo,16
Montemor-o-Velho,7
Montijo,14
Monção,1
Mora,6
Moura,7
Mourão,3
Murtosa,3
Murça,2
Mértola,8
Nazaré,5
Nelas,4
Odemira,10
Odivelas,26
Oeiras,10
Olhão,7
Oliveira de Azeméis,15
Oliveira do Bairro,2
Ourique,3
Ourém,4
Ovar,7
Palmela,11
Paredes,11
Paredes de Coura,1
Paços de Ferreira,4
Pedrógão Grande,1
Penafiel,8
Penamacor,2
Penela,2
Peniche,10
Pinhel,2
Pombal,4
Ponta Delgada,2
Ponte da Barca,1
Ponte de Lima,1
Ponte de Sôr,10
Portalegre,2
Portel,7
Portimão,8
Porto,7
Porto de Mós,5
Povoação,1
Póvoa de Lanhoso,6
Póvoa de Varzim,3
Redondo,4
Reguengos de Monsaraz,6
Ribeira Grande,2
Ribeira de Pena,2
Rio Maior,8
Sabugal,3
Santa Cruz da Graciosa,1
Santa Maria da Feira,40
Santa Marta de Penaguião,1
Santarém,12
Santiago do Cacém,15
Santo Tirso,17
Sardoal,3
Seia,7
Seixal,18
Serpa,14
Sertã,1
Sesimbra,8
Setúbal,8
Silves,5
Sines,5
Sintra,28
Sobral de Monte Agraço,7
Soure,4
Sousel,2
São Brás de Alportel,2
São João da Madeira,4
São João da Pesqueira,1
São Pedro do Sul,2
São Roque do Pico,1
Tavira,7
Tomar,5
Tondela,6
Torres Novas,5
Torres Vedras,7
Trofa,7
Vagos,7
Vale de Cambra,1
Valongo,9
Valpaços,1
Vendas Novas,4
Viana do Alentejo,8
Viana do Castelo,2
Vidigueira,9
Vieira do Minho,1
Vila Flor,2
Vila Franca de Xira,17
Vila Franca do Campo,1
Vila Nova da Barquinha,3
Vila Nova de Cerveira,4
Vila Nova de Famalicão,33
Vila Nova de Foz Côa,1
Vila Nova de Gaia,21
Vila Nova de Paiva,2
Vila Nova de Poiares,2
Vila Pouca de Aguiar,1
Vila Real,1
Vila Real de Santo António,5
Vila Velha de Ródão,1
Vila Verde,5
Vila Viçosa,2
Vila de Rei,1
Vila do Bispo,2
Vila do Conde,7
Vinhais,1
Viseu,4
Vizela,3
Águeda,6
Évora,19
Ílhavo,6
Óbidos,4
